R_fighter,Camps,avg_KD,avg_SUB_ATT,avg_opp_SUB_ATT,avg_TD_pct,avg_TD_landed,avg_GROUND_att,avg_GROUND_landed,avg_CTRL_time(seconds),win_by_Decision_Majority,Fight_ID
Donald Cerrone,BMF Ranch,0.700224951,0.253487596,0.003906254,0.533821368,0.676365411,8.422346717,7.354818903,49.08666589,0,1
Demian Maia,Demian Maia Jiu-Jitsu,0.000244141,0.519640725,3.15E-05,0.305999389,2.091526067,1.13835072,1.03758052,245.223326,1,2
Donald Cerrone,BMF Ranch,0.400449902,0.506975193,0.007812507,0.067642735,0.352730822,0.844693433,0.709637806,69.17333178,0,3
Demian Maia,Demian Maia Jiu-Jitsu,0.000488281,1.03928145,6.30E-05,0.281998778,1.183052134,1.276701439,1.07516104,127.4466521,0,4
Donald Cerrone,BMF Ranch,0.800899804,0.013950385,0.015625015,0.13528547,0.705461644,1.689386867,1.419275612,98.34666356,0,5
Jim Miller,Miller Brothers MMA,3.26E-08,0.413200021,0.063068513,0.167964287,0.314769678,1.888760044,1.786460748,23.16451042,0,6
Demian Maia,Demian Maia Jiu-Jitsu,0.000976563,0.0785629,0.000125945,0.063997555,0.366104268,2.553402878,2.15032208,123.8933042,0,7
Donald Cerrone,BMF Ranch,0.203599215,0.055801541,0.06250006,0.32114188,0.821846575,0.757547468,0.677102447,46.38665423,0,8
Georges St-Pierre,Tristar Gym,0.013795853,0.606231689,0.250038147,0.581214476,5.160419464,22.58214092,15.41781235,447.1171741,0,9
Jim Miller,Miller Brothers MMA,1.30E-07,0.652800085,0.252274054,0.67185715,1.259078712,1.555040174,1.145842993,38.65804167,0,10
Jon Jones,Jackson-Wink MMA,0.063782692,0.017183304,0.000976563,0.152359142,1.051068306,11.21607685,10.60671329,224.7459154,0,11
Michael Bisping,HB Ultimate,1.265747607,7.75E-06,0.031265914,0.000517194,0.004864395,5.06418556,3.603039294,19.20447159,0,12
Andrei Arlovski,American Top Team,2.41E-05,5.08E-07,0.000245095,0.012155228,0.047121048,0.124131855,0.056736574,10.20425235,0,13
Demian Maia,Demian Maia Jiu-Jitsu,0.015625,1.257006407,0.002015114,0.693960881,1.857668281,13.85444605,11.40515327,369.2928672,0,14
Diego Sanchez,Jackson-Wink MMA,0.000247061,0.001594683,0.140687477,0.595681865,1.885325987,22.97853238,17.41531367,284.0800652,0,15
Donald Cerrone,BMF Ranch,1.257587433,0.89282465,9.54E-07,0.738270087,1.149545193,8.120759487,6.833639145,99.18646765,0,16
Dustin Poirier,American Top Team,0.065246582,2.390918493,0.762248516,0.102279209,0.717065215,11.00398898,8.847617269,119.5255345,1,17
Georges St-Pierre,Tristar Gym,0.027591705,0.212463379,0.500076294,0.662428951,7.320838928,44.16428185,29.83562469,722.2343483,0,18
Jim Miller,Miller Brothers MMA,2.61E-07,0.305600171,0.504548107,0.3437143,0.518157423,3.110080348,2.291685986,25.31608334,0,19
Jon Jones,Jackson-Wink MMA,0.127565384,0.034366608,0.001953125,0.304718285,2.102136612,22.4321537,21.21342659,449.4918308,0,20
Michael Bisping,HB Ultimate,0.531495214,1.55E-05,0.062531829,0.001034389,0.009728789,7.128371119,4.206078589,35.40894318,0,21
Rafael Dos Anjos,RDA Academy,9.98E-05,0.261810858,1.94E-06,0.092407989,0.631437525,2.109433874,1.815986209,101.0080489,0,22
Andrei Arlovski,American Top Team,4.81E-05,1.02E-06,0.00049019,0.024310456,0.094242097,0.248263709,0.113473147,20.4085047,0,23
Charles Oliveira,Chute Boxe Diego Lima,0.375061154,1.254415959,0.00152719,0.107543249,0.141063392,5.069678634,4.549980819,22.94133711,0,24
Demian Maia,Demian Maia Jiu-Jitsu,0.03125,1.514012814,0.004030228,0.387921762,2.715336561,26.70889211,21.81030655,659.5857344,0,25
Diego Sanchez,Jackson-Wink MMA,0.000988245,0.006378733,0.562749907,0.38272746,1.541303948,35.91412953,22.66125467,491.3202606,0,26
Donald Cerrone,BMF Ranch,1.515174866,0.7856493,1.91E-06,0.476540174,1.299090385,10.24151897,8.66727829,155.3729353,0,27
Dustin Poirier,American Top Team,0.130493164,0.781836987,1.524497032,0.064558418,0.43413043,1.007977962,0.695234537,70.05106902,1,28
Frankie Edgar,Ricardo Almeida Jiu-Jitsu,0.003982544,0.033341885,0.047279716,0.032685392,0.378488421,3.477839231,2.580511808,120.9462114,0,29
Georges St-Pierre,Tristar Gym,0.055183411,0.424926758,0.000152588,0.764857903,5.641677856,39.32856369,27.67124939,620.4686966,0,30
Jim Miller,Miller Brothers MMA,1.04E-06,0.222400684,0.018192429,0.374857198,1.072629694,3.440321393,2.166743945,82.26433336,0,31
Jon Jones,Jackson-Wink MMA,0.255130768,0.068733215,0.00390625,0.239436569,1.204273224,13.8643074,12.42685318,119.9836617,0,32
Matt Hughes,HIT Squad,1,0.10392189,0.299052715,0.195700345,0.954163074,9.067928314,6.937600136,229.066947,0,33
Max Holloway,Gracie Technics,0.011796713,0.067169189,7.15E-07,0.036254883,0.040161133,0.989001036,0.734829187,3.661295176,0,34
Michael Bisping,HB Ultimate,0.062990427,3.10E-05,0.125063658,0.002068777,0.019457579,3.256742239,2.412157178,26.81788635,0,35
Rafael Dos Anjos,RDA Academy,0.000798225,1.094486862,1.55E-05,0.169263914,1.051500201,5.875470996,5.527889669,125.064391,0,36
Anderson Silva,Team Nogueira,0.28448391,0.002948761,0.125976563,0.001041412,0.001041412,1.456540108,0.855507851,2.217497826,0,37
Andrei Arlovski,American Top Team,0.000192419,4.06E-06,0.001960758,0.097241825,0.376968388,0.993054837,0.453892589,30.63401879,0,38
Charles Oliveira,Chute Boxe Diego Lima,0.750122309,0.508831918,0.00305438,0.215086497,0.282126784,3.139357269,3.099961638,34.88267422,0,39
Demian Maia,Demian Maia Jiu-Jitsu,0.0625,1.028025627,0.008060455,0.475843525,2.430673122,36.41778421,28.6206131,596.1714687,0,40
Diego Sanchez,Jackson-Wink MMA,0.00197649,0.012757465,0.125499815,0.01545492,0.082607895,3.828259066,3.322509348,122.6405212,0,41
Donald Cerrone,BMF Ranch,0.030349731,0.571298599,3.81E-06,0.293080349,0.598180771,0.483037949,0.33455658,27.74587059,0,42
Dustin Poirier,American Top Team,0.521972656,1.127347946,1.097988129,0.138233671,0.736521721,4.03191185,2.780938148,65.20427608,1,43
Frankie Edgar,Ricardo Almeida Jiu-Jitsu,0.031860352,0.266735077,0.378237724,0.141483138,1.027907372,23.82271385,18.64409447,176.5696909,0,44
Georges St-Pierre,Tristar Gym,0.110366821,0.849853516,0.000305176,0.659715805,4.283355713,14.65712738,10.34249878,343.9373932,0,45
Jim Miller,Miller Brothers MMA,3.34E-05,0.116821885,0.582157731,0.275430347,0.324150205,7.090284586,4.335806251,44.45866764,0,46
Jon Jones,Jackson-Wink MMA,0.510261536,0.137466431,0.0078125,0.278873138,1.408546448,14.72861481,12.85370636,150.9673233,0,47
Matt Hughes,HIT Squad,0,0.207843781,0.598105431,0.39140069,1.908326149,17.13585663,12.87520027,354.133894,0,48
Max Holloway,Gracie Technics,0.094373703,0.537353516,5.72E-06,0.290039063,0.321289063,6.912008286,4.878633499,25.2903614,0,49
Michael Bisping,HB Ultimate,0.125980854,6.20E-05,0.250127316,0.004137554,0.038915157,4.513484478,2.824314356,18.63577271,0,50
