fighter_name,ID#
Aalon Cruz,1
Aaron Brink,2
Aaron Phillips,3
Aaron Riley,4
Aaron Rosa,5
Aaron Simpson,6
Aaron Wilkinson,7
Abdul Razak Alhassan,8
Abdul-Kerim Edilov,9
Abel Trujillo,10
Abner Lloveras,11
Abu Azaitar,12
Abubakar Nurmagomedov,13
Adam Cella,14
Adam Milstead,15
Adam Wieczorek,16
Adam Yandiev,17
Adlan Amagov,18
Adrian Serrano,19
Adrian Yanez,20
Adriano Martins,21
Adriano Santos,22
Aiemann Zahabi,23
Aisling Daly,24
Akbarh Arreola,25
Akihiro Gono,26
Akira Corassani,27
Al Iaquinta,28
Alan Baudot,29
Alan Belcher,30
Alan Jouban,31
Alan Omer,32
Alan Patrick,33
Albert Cheng,34
Albert Morales,35
Albert Tumenov,36
Alberta Cerra Leon,37
Alberto Crane,38
Alberto Mina,39
Alberto Uda,40
Alejandro Perez,41
Aleksa Camur,42
Aleksandar Rakic,43
Aleksandra Albu,44
Aleksei Kunchenko,45
Aleksei Oleinik,46
Alen Amedovski,47
Alessio Di Chirico,48
Alessio Sakara,49
Alex Andrade,50
Alex Caceres,51
Alex Chambers,52
Alex Da Silva,53
Alex Garcia,54
Alex Gorgees,55
Alex Hunter,56
Alex Karalexis,57
Alex Morono,58
Alex Nicholson,59
Alex Oliveira,60
Alex Perez,61
Alex Reyes,62
Alex Ricci,63
Alex Schoenauer,64
Alex Soto,65
Alex Stiebling,66
Alex Torres,67
Alex White,68
Alexa Grasso,69
Alexander Gustafsson,70
Alexander Hernandez,71
Alexander Munoz,72
Alexander Volkanovski,73
Alexander Volkov,74
Alexander Yakovlev,75
Alexandr Romanov,76
Alexandre Barros,77
Alexandre Dantas,78
Alexandre Ferreira,79
Alexandre Pantoja,80
Alexis Davis,81
Alexis Dufresne,82
Alfonso Alcarez,83
Ali AlQaisi,84
Ali Bagautinov,85
Alistair Overeem,86
Aljamain Sterling,87
Allan Goes,88
Allan Zuniga,89
Allen Berube,90
Allen Crowder,91
Alonzo Menifield,92
Alptekin Ozkilic,93
Alvaro Herrera Mendoza,94
Alvin Robinson,95
Amanda Cooper,96
Amanda Lemos,97
Amanda Nunes,98
Amanda Ribas,99
Amar Suloev,100
Amaury Bitetti,101
Amilcar Alves,102
Amir Albazi,103
Amir Sadollah,104
Anderson Dos Santos,105
Anderson Silva,106
Andre Ewell,107
Andre Fili,108
Andre Gusmao,109
Andre Muniz,110
