Fighters,Results,Avg_KD,R_avg_opp_KD,R_avg_SIG_STR_pct,R_avg_opp_SIG_STR_pct,R_avg_TD_pct,R_avg_opp_TD_pct,R_avg_SUB_ATT,R_avg_opp_SUB_ATT,R_avg_REV,R_avg_opp_REV,R_avg_SIG_STR_att,R_avg_SIG_STR_landed,R_avg_opp_SIG_STR_att,R_avg_opp_SIG_STR_landed,R_avg_TOTAL_STR_att,R_avg_TOTAL_STR_landed,R_avg_opp_TOTAL_STR_att,R_avg_opp_TOTAL_STR_landed,R_avg_TD_att,R_avg_TD_landed,R_avg_opp_TD_att,R_avg_opp_TD_landed,R_avg_HEAD_att,R_avg_HEAD_landed,R_avg_opp_HEAD_att,R_avg_opp_HEAD_landed,R_avg_BODY_att,R_avg_BODY_landed,R_avg_opp_BODY_att,R_avg_opp_BODY_landed,R_avg_LEG_att,R_avg_LEG_landed,R_avg_opp_LEG_att,R_avg_opp_LEG_landed,R_avg_DISTANCE_att,R_avg_DISTANCE_landed,R_avg_opp_DISTANCE_att,R_avg_opp_DISTANCE_landed,R_avg_CLINCH_att,R_avg_CLINCH_landed,R_avg_opp_CLINCH_att,R_avg_opp_CLINCH_landed,R_avg_GROUND_att,R_avg_GROUND_landed,R_avg_opp_GROUND_att,R_avg_opp_GROUND_landed,R_avg_CTRL_time(seconds),R_avg_opp_CTRL_time(seconds),R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,Win_streak,Wins,Losses,Draws,Total Fights,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,Stance,Height,Reach,Weight,Age
Donald Cerrone,0,1.350112475,0.025390953,0.458872798,0.439312421,0.266910684,0.125198138,0.126743798,0.001953127,0.125015736,4.77E-07,234.9555849,95.93818707,155.9416838,66.04957213,236.8081483,97.71130446,158.4916881,68.47012844,1.09119909,0.338182705,3.392779901,0.125996114,192.8508134,60.40916579,109.406351,33.31304688,21.91703904,16.06168958,32.7042746,20.29532139,20.18773242,19.4673317,13.83105824,12.44120386,214.8028821,82.69616713,146.8245795,58.95147785,8.941529471,6.564610491,8.890167626,6.915715391,11.21117336,6.677409451,0.226936732,0.182378889,35.54333294,16.65457818,1034.213859,68,1,4,0,8,23,8,0,31,0,0,7,10,6,0,Orthodox,185.42,185.42,155,36
Donald Cerrone,0,0.675056238,0.012695476,0.409436399,0.47965621,0.633455342,0.062599069,0.063371899,0.000976563,0.062507868,2.38E-07,209.9777924,81.96909354,177.9708419,85.02478607,210.9040741,82.85565223,179.2458441,86.23506422,1.045599545,0.669091353,1.69638995,0.062998057,172.4254067,51.7045829,126.7031755,49.15652344,22.45851952,15.53084479,34.8521373,22.6476607,15.09386621,14.73366585,16.41552912,13.22060193,199.401441,75.34808357,172.4122897,80.97573893,4.970764736,3.282305245,5.445083813,3.957857695,5.605586679,3.338704726,0.113468366,0.091189445,21.27166647,8.32728909,817.1069295,70,1,4,0,8,23,9,0,32,0,0,7,10,6,0,Orthodox,185.42,185.42,155,36
Donald Cerrone,0,0.337528119,0.506347738,0.364718199,0.564828105,0.316727671,0.031299534,0.03168595,0.000488282,0.031253934,1.19E-07,130.9888962,49.48454677,119.485421,62.51239303,131.4520371,49.92782612,120.122922,63.11753211,0.522799772,0.334545676,0.848194975,0.031499028,108.7127034,31.85229145,85.35158775,38.07826172,14.22925976,9.765422395,18.42606865,11.32383035,8.046933104,7.866832925,15.70776456,13.11030096,125.7007205,46.17404178,113.7061449,58.48786946,2.485382368,1.641152623,4.222541906,2.978928848,2.80279334,1.669352363,1.556734183,1.045594722,10.63583324,6.163644545,537.5534648,71,1,4,0,8,23,10,0,33,0,0,7,10,6,0,Orthodox,185.42,185.42,155,36
Donald Cerrone,0,0.168764059,0.753173869,0.1823591,0.647414053,0.158363835,0.015649767,0.015842975,0.000244141,0.015626967,5.96E-08,65.99444811,24.74227338,72.74271048,40.75619652,66.22601853,24.96391306,73.56146102,41.55876605,0.261399886,0.167272838,0.424097488,0.015749514,54.35635168,15.92614572,55.17579387,28.53913086,7.61462988,4.882711198,9.713034325,5.661915174,4.023466552,3.933416463,7.85388228,6.555150482,63.35036026,23.08702089,60.35307243,30.74393473,1.242691184,0.820576311,3.611270953,2.989464424,1.40139667,0.834676181,8.778367092,7.022797361,5.317916618,9.581822272,288.7767324,72,1,4,0,8,23,11,0,34,0,0,7,10,6,0,Orthodox,185.42,185.42,155,37
Donald Cerrone,0,0.08438203,0.376586935,0.29617955,0.598707026,0.204181918,0.007824884,0.007921487,0.00012207,0.007813483,2.98E-08,106.9972241,43.37113669,92.87135524,51.87809826,107.1130093,43.48195653,103.2807305,61.27938303,4.130699943,1.083636419,0.712048744,0.007874757,83.17817584,23.46307286,69.58789694,36.26956543,14.80731494,11.4413556,13.85651716,7.830957587,9.011733276,8.466708231,9.42694114,7.777575241,103.1751801,41.04351045,85.17653622,45.37196737,3.121345592,1.910288156,2.305635477,1.994732212,0.700698335,0.417338091,5.389183546,4.511398681,55.65895831,4.790911136,594.3883662,75,1,4,0,8,23,12,0,35,0,0,7,10,6,0,Orthodox,185.42,185.42,155,37
Donald Cerrone,1,0.700224951,0.050781906,0.537745596,0.478624841,0.533821368,0.250396276,0.253487596,0.003906254,0.250031471,9.54E-07,108.9111698,53.87637415,88.88336766,42.09914427,110.6162965,55.42260893,93.98337626,46.94025688,2.18239818,0.676365411,1.785559801,0.251992228,83.70162685,33.81833158,53.81270198,17.62609376,18.83407808,15.12337916,27.40854919,17.59064279,6.375464834,4.9346634,7.662116487,6.882407717,85.60576411,36.39233426,70.64915895,27.90295571,14.88305894,10.12922098,17.78033525,13.83143078,8.422346717,7.354818903,0.453873465,0.364757778,49.08666589,33.30915636,568.4277181,63,1,4,0,8,22,8,0,30,0,0,6,10,6,0,Orthodox,185.42,185.42,155,36
Demian Maia,0,0.00012207,0.078125075,0.389302783,0.342986906,0.152999694,0.286041499,0.759820363,1.57E-05,1.258789066,0.504059079,76.11280808,39.31684298,113.4704178,45.11044197,104.5914156,66.83381739,140.9205934,71.26145896,4.55353328,1.045763033,3.501602654,2.001138211,58.81881733,26.66396974,101.2686997,36.2106051,17.20709241,12.59741266,7.237695823,4.291287462,0.086898347,0.055460576,4.964022219,4.608549408,63.78923424,28.59072773,99.62834827,33.98340557,10.25439848,8.707324987,7.377485193,6.000193305,2.06917536,2.01879026,6.464584319,5.12684309,167.611663,94.99933162,817.9370818,85,2,5,0,7,22,9,0,31,1,1,8,1,11,0,Southpaw,185.42,182.88,170,42
Donald Cerrone,1,0.400449902,0.101563811,0.585491191,0.497249683,0.067642735,0.500792552,0.506975193,0.007812507,0.500062943,1.91E-06,55.82233953,27.75274829,72.76673533,35.19828853,58.23259303,29.84521786,77.96675251,39.88051376,3.364796359,0.352730822,1.571119603,0.503984455,31.40325371,9.636663165,48.62540397,15.25218752,15.66815615,12.24675833,12.81709839,10.18128557,8.750929669,5.8693268,11.32423297,9.764815435,47.21152821,20.78466852,59.29831789,23.80591141,7.766117886,6.258441962,12.5606705,10.66286156,0.844693433,0.709637806,0.90774693,0.729515556,69.17333178,44.61831272,613.8554362,61,1,4,0,8,21,8,0,29,0,0,6,9,6,0,Orthodox,185.42,185.42,155,35
Demian Maia,1,0.000244141,0.156250149,0.218605566,0.195973812,0.305999389,0.002082998,0.519640725,3.15E-05,0.517578132,0.008118158,30.22561617,9.633685958,99.94083557,27.22088393,72.18283129,49.66763479,113.8411867,40.52291792,9.107066561,2.091526067,0.003205309,0.002276422,29.63763466,9.327939482,86.53739948,18.42121019,0.414184816,0.194825323,8.475391647,4.582574924,0.173796695,0.110921152,4.928044438,4.217098815,28.57846848,8.181455463,91.25669654,21.96681114,0.508796966,0.414649975,1.754970387,1.000386611,1.13835072,1.03758052,6.929168638,4.25368618,245.223326,75.99866324,801.8741637,82,2,5,0,7,21,9,0,30,1,1,8,1,10,0,Southpaw,185.42,182.88,170,41
Jim Miller,0,1.63E-08,0.007816315,0.545072467,0.448488422,0.083982144,0.287340618,0.706600011,0.031534257,3.86E-05,0.00097704,34.78539302,16.80339903,54.12488547,24.17285692,41.17771077,22.62023877,65.85687661,35.3819404,0.692883126,0.157384839,0.293712791,0.290972479,26.16360354,9.000398291,48.56378437,20.7042205,4.420803698,3.886336827,2.739975893,1.453353739,4.200985783,3.916663908,2.8211252,2.015282678,29.24496786,12.5939241,46.38208908,19.00511737,3.596045145,2.816244557,4.117132374,2.58255863,1.944380022,1.393230374,3.625664016,2.585180916,65.58225521,92.07971983,325.0623576,77,0,2,0,7,21,14,0,35,0,2,6,3,10,0,Southpaw,172.72,180.34,155,36
